n,Dynamic Programming Memoization,,,,,,,,Dynamic Programming Tabulation,,,,,,,
,Computation 1,Retrieval 1,Computation 2,Retrieval 2,Computation 3,Retrieval 3,Average Computation,Average Retrieval,Computation 1,Retrieval 1,Computation 2,Retrieval 2,Computation 3,Retrieval 3,Average Computation,Average Retrieval
11100,9813845,2421690,9762083,2410875,9785325,2435525,9787084,2422696,11100000,14285626,11100000,14288238,11100000,14309064,11100000,14294309
11200,9890803,2443796,9858035,2432449,9860019,2449792,9869619,2442012,11200000,14414924,11200000,14416629,11200000,14434376,11200000,14421976
11300,9954119,2459739,9982836,2467849,9957885,2470928,9964946,2466172,11300000,14544268,11300000,14548677,11300000,14562145,11300000,14551696
11400,10033465,2476185,10053882,2488234,10045111,2492442,10044152,2485620,11400000,14672999,11400000,14678073,11400000,14693081,11400000,14681384
11500,10107213,2489557,10148937,2511960,10157433,2525809,10137861,2509108,11500000,14798615,11500000,14806966,11500000,14822579,11500000,14809386
11600,10200074,2510814,10218862,2528206,10216709,2539123,10211881,2526047,11600000,14927317,11600000,14931642,11600000,14949231,11600000,14936063
11700,10326060,2545424,10326269,2556382,10343092,2573538,10331807,2558448,11700000,15056764,11700000,15063721,11700000,15080330,11700000,15066938
11800,10422826,2578630,10419743,2579480,10426080,2595633,10422883,2584581,11800000,15189037,11800000,15195119,11800000,15211029,11800000,15198395
11900,10507497,2602464,10475467,2591919,10515639,2619988,10499534,2604790,11900000,15319058,11900000,15319218,11900000,15340093,11900000,15326123
12000,10605138,2628204,10573746,2614376,10621158,2650853,10600014,2631144,12000000,15444613,12000000,15448998,12000000,15472104,12000000,15455238
12100,10691851,2649699,10693185,2649021,10695518,2671587,10693518,2656769,12100000,15571759,12100000,15583074,12100000,15595431,12100000,15583421
12200,10818480,2685942,10792320,2677613,10779907,2686418,10796902,2683324,12200000,15700638,12200000,15716974,12200000,15722829,12200000,15713480
12300,10907270,2710439,10877384,2702818,10870155,2706227,10884936,2706494,12300000,15829376,12300000,15844293,12300000,15850006,12300000,15841225
12400,10969843,2724641,10956746,2719379,10954909,2729488,10960499,2724502,12400000,15952048,12400000,15971479,12400000,15980028,12400000,15967851
12500,11081056,2748194,11046358,2740909,11035528,2746944,11054314,2745349,12500000,16084598,12500000,16100889,12500000,16104873,12500000,16096786
12600,11156565,2768840,11121479,2757720,11131621,2766121,11136555,2764227,12600000,16215324,12600000,16232032,12600000,16233598,12600000,16226984
12700,11247661,2789294,11224646,2788405,11221071,2788492,11231126,2788730,12700000,16344311,12700000,16364572,12700000,16364742,12700000,16357875
12800,11338997,2813078,11313609,2813540,11328661,2820906,11327089,2815841,12800000,16476825,12800000,16494008,12800000,16495095,12800000,16488642
12900,11418097,2834104,11425401,2849807,11400433,2837481,11414643,2840464,12900000,16601382,12900000,16625144,12900000,16622016,12900000,16616180
13000,11511058,2852378,11518676,2872065,11491287,2860067,11507007,2861503,13000000,16731587,13000000,16756331,13000000,16750723,13000000,16746213
13100,11609435,2880297,11615733,2904279,11576378,2879129,11600515,2887901,13100000,16859663,13100000,16893670,13100000,16875509,13100000,16876280
13200,11667723,2894516,11659741,2913354,11672894,2899507,11666786,2902459,13200000,16982947,13200000,17019005,13200000,17004073,13200000,17002008
13300,11781854,2919473,11781882,2947050,11770804,2929383,11778180,2931968,13300000,17110699,13300000,17152472,13300000,17133218,13300000,17132129
13400,11872068,2941304,11866828,2970501,11868480,2954646,11869125,2955483,13400000,17242439,13400000,17282625,13400000,17264499,13400000,17263187
13500,11936711,2958574,11956014,2991152,11948777,2972368,11947167,2974031,13500000,17364348,13500000,17414043,13500000,17400046,13500000,17392812
13600,12025909,2976036,12046990,3016528,12058729,3007132,12043876,2999898,13600000,17492792,13600000,17541935,13600000,17529741,13600000,17521489
13700,12108538,2993182,12128106,3034889,12150780,3032449,12129141,3020173,13700000,17618785,13700000,17668202,13700000,17660788,13700000,17649258
13800,12211792,3017732,12235139,3066493,12239257,3055501,12228729,3046575,13800000,17749820,13800000,17795557,13800000,17788479,13800000,17777952
13900,12294220,3036638,12311800,3082734,12314878,3073044,12306966,3064138,13900000,17875973,13900000,17923850,13900000,17918323,13900000,17906048
14000,12376960,3053726,12374085,3093223,12405519,3097021,12385521,3081323,14000000,18001218,14000000,18051695,14000000,18048648,14000000,18033853
14100,12478528,3079953,12450167,3107203,12501585,3124287,12476760,3103814,14100000,18131579,14100000,18174411,14100000,18181435,14100000,18162475
14200,12577584,3109368,12555669,3130465,12566576,3138700,12566609,3126177,14200000,18263262,14200000,18301897,14200000,18306564,14200000,18290574
14300,12653837,3130252,12655995,3155212,12653788,3157579,12654540,3147681,14300000,18385362,14300000,18430795,14300000,18436732,14300000,18417629
14400,12733179,3143474,12740906,3172907,12732190,3175541,12735425,3163974,14400000,18513611,14400000,18558938,14400000,18564908,14400000,18545819
14500,12846711,3171442,12817074,3192368,12853670,3207752,12839151,3190520,14500000,18644920,14500000,18685108,14500000,18695503,14500000,18675177
14600,12918767,3188930,12902396,3212858,12920277,3223250,12913813,3208346,14600000,18773152,14600000,18812799,14600000,18822775,14600000,18802908
14700,13036554,3221978,12983153,3229401,13038850,3255176,13019519,3235518,14700000,18903605,14700000,18936821,14700000,18954417,14700000,18931614
14800,13118830,3244359,13107287,3261231,13112038,3277945,13112718,3261178,14800000,19033826,14800000,19069200,14800000,19082894,14800000,19061973
14900,13196290,3264271,13206771,3291284,13196188,3295376,13199749,3283643,14900000,19156939,14900000,19199512,14900000,19210968,14900000,19189139
15000,13304849,3289148,13295786,3312917,13311394,3329216,13304009,3310427,15000000,19280975,15000000,19324713,15000000,19346175,15000000,19317287
